filename	lines	domain	type	project	destination	confidence	ai_hint
# Supabase Configuration (if using).md	6	claude-mastery	unknown		40_knowledge/references/	MEDIUM	# Supabase Configuration (if using)
# Supabase Configuration.md	35	claude-mastery	reference		40_knowledge/references/	MEDIUM	# Supabase Configuration
# Task- Execute NotebookLM Fast Research for New Design & Obsidian….md	122	claude-mastery|vault|creative-studio	project-material	superuser-pack	20_projects/prj-superuser-pack/	HIGH	# Task: Execute NotebookLM Fast Research for New Design & Obsidian…
## Appendix A- Boss Specifications.md	44	life-systems|creative-studio	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	## Appendix A: Boss Specifications
## Game Boy Shell Mockup Variant (Full Device View).md	489	creative-studio|design-team|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	## Game Boy Shell Mockup Variant (Full Device View)
## STEP 0- WORKSPACE VERIFICATION (MANDATORY).md	341	creative-studio|life-systems|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	## STEP 0: WORKSPACE VERIFICATION (MANDATORY)
### --5- Popular News Featured (600x400) - Tether Strategy--.md	76	product-management|life-systems|design-team	idea		00_inbox/	HIGH	### **5. Popular News Featured (600x400) - Tether Strategy**
### LCD WelcomeScreen (Screen-Only, No Shell).md	153	creative-studio|design-team|life-systems	ai-prompt	16bitfit	20_projects/prj-16bitfit/	HIGH	### LCD WelcomeScreen (Screen-Only, No Shell)
#### --Color Palette--.md	16	design-team|creative-studio|claude-mastery	unknown		40_knowledge/references/	MEDIUM	#### **Color Palette**
#0E3476.md	14	creative-studio	personal		60_archive/apple-notes-personal/	HIGH	#0E3476
$150 for Matt Vitebsky to stay in New Orleans.md	6	unclassified	financial		50_sources/finance/	MEDIUM	$150 for Matt Vitebsky to stay in New Orleans
've hit the Claude AI usage limit for the task agent- Let me complete….md	171	product-management|claude-mastery|design-team	project-material	campus-201	20_projects/prj-campus-201/	HIGH	've hit the Claude AI usage limit for the task agent. Let me complete…
- --V2 Lessons Learned--- Previous development efforts validated the….md	27	creative-studio|product-management|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	* **V2 Lessons Learned:** Previous development efforts validated the…
-(Note- Based on synthesis of previous sections and hypotheses- Requires….md	37	creative-studio|life-systems|product-management	idea	16bitfit	20_projects/prj-16bitfit/	HIGH	*(Note: Based on synthesis of previous sections and hypotheses. Requires…
-(Note- Requires research data- Populate with key features relevant….md	34	creative-studio|life-systems	idea	16bitfit	20_projects/prj-16bitfit/	HIGH	*(Note: Requires research data. Populate with key features relevant…
-- -src-constants-designTokens-js.md	459	design-team|creative-studio|claude-mastery	code-snippet	16bitfit	20_projects/prj-16bitfit/	HIGH	// /src/constants/designTokens.js
--- Hey @swinslow mind making a tracking doc of everything outstanding….md	33	product-management	project-material	campus-201	20_projects/prj-campus-201/	MEDIUM	*** Hey @swinslow mind making a tracking doc of everything outstanding…
----LATEST TOKENS----.md	259	claude-mastery|design-team|creative-studio	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	****LATEST TOKENS****
---.md	406	creative-studio|life-systems|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	name: game-dev-specialist
--CONTEXT---.md	88	creative-studio|life-systems|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	**CONTEXT:**
--MagicPath-ai Prompt- 16BitFit-V3 Home Dashboard (Hardware Shell….md	53	creative-studio|design-team|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	**MagicPath.ai Prompt: 16BitFit-V3 Home Dashboard (Hardware Shell…
--Objective--- Create a responsive personal portfolio website with….md	70	creative-studio|life-systems|claude-mastery	project-material	campus-201	20_projects/prj-campus-201/	HIGH	**Objective:** Create a responsive personal portfolio website with…
--Work on relevant icons and graphics for the classes David sent — give….md	36	creative-studio|claude-mastery|product-management	project-material		40_knowledge/references/	HIGH	**Work on relevant icons and graphics for the classes David sent — give…
-31.md	3	unclassified	unknown		00_inbox/	LOW	
-CO - The Block Redesign.md	5	product-management	unknown		40_knowledge/references/	MEDIUM	.CO - The Block Redesign
-CO - Wordpress.md	7	product-management|claude-mastery	unknown		40_knowledge/references/	MEDIUM	.CO - Wordpress
-Prompt to give to Claude Code whenever it finishes a large amount….md	100	claude-mastery|product-management|design-team	reference	campus-201	20_projects/prj-campus-201/	HIGH	*Prompt to give to Claude Code whenever it finishes a large amount…
-SATURDAY 7-5 ------.md	8	creative-studio|claude-mastery	reference	16bitfit	20_projects/prj-16bitfit/	MEDIUM	*SATURDAY 7/5 ******
-Users-seanwinslow-Code-Brain-16BitFit-Asset-Creation-apps-mobile….md	3	creative-studio	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	/Users/seanwinslow/Code-Brain/16BitFit-Asset-Creation/apps/mobile…
-architect -- Help me gather the files to share with Google Deep Think….md	4	claude-mastery|creative-studio	unknown		40_knowledge/references/	MEDIUM	*architect -- Help me gather the files to share with Google Deep Think…
-architect -- I've got everything set up and we've officially migrated….md	39	claude-mastery|life-systems|creative-studio	project-material		40_knowledge/references/	HIGH	*architect -- I've got everything set up and we've officially migrated…
-architect -- Please read through the Anthropic Documents regarding….md	288	claude-mastery|creative-studio|design-team	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	*architect -- Please read through the Anthropic Documents regarding…
-automode.md	58	creative-studio|claude-mastery	reference	superuser-pack	20_projects/prj-superuser-pack/	HIGH	/automode
-brainstorm overall project idea- I’ve provided the core concept from….md	13	creative-studio|claude-mastery|life-systems	idea	16bitfit	20_projects/prj-16bitfit/	HIGH	*brainstorm overall project idea. I’ve provided the core concept from…
-claude-skills.md	3	product-management|creative-studio|claude-mastery	reference	campus-201	20_projects/prj-campus-201/	HIGH	.claude/skills
-env files within 16bit fit.md	43	claude-mastery|creative-studio|design-team	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	.env files within 16bit fit
-env — 2-17-26.md	53	claude-mastery|creative-studio|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	.env — 2-17-26
-generate-ui-prompt.md	22	design-team|product-management|creative-studio	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	*generate-ui-prompt
-goal-.md	197	product-management|claude-mastery|life-systems	project-material		40_knowledge/references/	HIGH	<goal>
-public.md	37	product-management	unknown		40_knowledge/references/	MEDIUM	/public
-root {.md	46	creative-studio	unknown		00_inbox/	LOW	:root {
0-00.md	864	claude-mastery|life-systems	reference	superuser-pack	20_projects/prj-superuser-pack/	HIGH	The thing that a lot of people are missing right now, the fact that like it's just hard to use Claude Code and figure ou
1) Project scan & plan.md	60	claude-mastery	reference		40_knowledge/references/	HIGH	1) Project scan & plan
1)Grayscale Dogecoin (GDOG) Status & Key Details - The Block.md	17	product-management	unknown		40_knowledge/references/	MEDIUM	1)Grayscale Dogecoin (GDOG) Status & Key Details | The Block
1- SEAN - Caucasian Male Boxing Trainer.md	42	creative-studio|life-systems|design-team	ai-prompt	16bitfit	20_projects/prj-16bitfit/	HIGH	1. SEAN - Caucasian Male Boxing Trainer
1-4-2026.md	16	claude-mastery	unknown		40_knowledge/references/	MEDIUM	1/4/2026
1-Which of the following is NOT a major goal of analyzing data-Your….md	72	life-systems	personal		60_archive/apple-notes-personal/	MEDIUM	1.Which of the following is NOT a major goal of analyzing data?Your…
10-4 Checklist.md	15	claude-mastery|creative-studio|product-management	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	10/4 Checklist
12- Data Chart Thumbnail C (300×200) – Fees per Chain Line Chart.md	48	vault|product-management|life-systems	reference		40_knowledge/references/	HIGH	12. Data Chart Thumbnail C (300×200) – Fees per Chain Line Chart
12-26-25 Checklist.md	11	product-management|creative-studio|claude-mastery	project-material		40_knowledge/references/	HIGH	12/26/25 Checklist
14- Need to switch withholding to Massachusetts from NY- Do that ASAP….md	7	life-systems|product-management	personal	boston-move	20_projects/prj-boston-move/	HIGH	14. Need to switch withholding to Massachusetts from NY. Do that ASAP…
16 BitFit future implementation.md	4	creative-studio	project-material	16bitfit	20_projects/prj-16bitfit/	MEDIUM	16 BitFit future implementation
16Bit Fit Color Palette.md	8	creative-studio|design-team	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	16Bit Fit Color Palette
16BitFit -env file 10-31.md	35	claude-mastery|creative-studio|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit .env file 10-31
16BitFit Complete Sub-Agent Team- AI Product Manager Portfolio Showcase.md	51	life-systems|product-management|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit Complete Sub-Agent Team: AI Product Manager Portfolio Showcase
16BitFit Epic One BMAD Breakdown.md	112	creative-studio|product-management|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit Epic One BMAD Breakdown
16BitFit Ideas to think about.md	4	creative-studio|life-systems	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit Ideas to think about
16BitFit MCP connections.md	23	claude-mastery|creative-studio	work-nyl	16bitfit	20_projects/prj-16bitfit/	MEDIUM	16BitFit MCP connections
16BitFit Music and SFX.md	3	creative-studio|claude-mastery	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	16BitFit Music and SFX
16BitFit Optimized Sub-Agents for Claude Code.md	2263	life-systems|creative-studio|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit Optimized Sub-Agents for Claude Code
16BitFit SupaBase.md	4	creative-studio|claude-mastery	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	16BitFit SupaBase
16BitFit fitness gamification app using BMAD Method for Greenfield….md	12	claude-mastery|creative-studio|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit fitness gamification app using BMAD Method for Greenfield…
16BitFit fitness gamification app using BMAD Method for brownfield….md	39	creative-studio|claude-mastery|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit fitness gamification app using BMAD Method for brownfield…
16BitFit note.md	7	creative-studio|claude-mastery	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	16BitFit note
16BitFit – UX × Game Studio-.md	68	creative-studio|design-team|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit – UX × Game Studio/
16BitFit — Combat Blocks + Hit‑React Cycles (Top 5 Fighters).md	407	creative-studio|life-systems|claude-mastery	personal	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit — Combat Blocks + Hit‑React Cycles (Top 5 Fighters)
16BitFit — Game Boy UI Prototype (Modern Retro).md	280	creative-studio|design-team|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit — Game Boy UI Prototype (Modern Retro)
16BitFit — Prompt Coverage Snapshot.md	37	creative-studio|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	MEDIUM	16BitFit — Prompt Coverage Snapshot
16BitFit- The Definitive Implementation Strategy.md	450	creative-studio|claude-mastery|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit: The Definitive Implementation Strategy
16BitFit-V3 aims to pioneer the --SBFG (Strength-Based Fighting Game….md	130	creative-studio|life-systems|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	16BitFit-V3 aims to pioneer the **SBFG (Strength-Based Fighting Game…
16Bitfit note - for onboarding, the user should select the fighter….md	4	creative-studio|life-systems|claude-mastery	personal	16bitfit	20_projects/prj-16bitfit/	HIGH	16Bitfit note - for onboarding, the user should select the fighter…
16bitFit.md	9	life-systems|creative-studio|claude-mastery	ai-prompt	16bitfit	20_projects/prj-16bitfit/	HIGH	16bitFit
16bitfit notes - look into the architecture and make sure the fighter….md	29	creative-studio|life-systems|claude-mastery	personal	16bitfit	20_projects/prj-16bitfit/	HIGH	16bitfit notes - look into the architecture and make sure the fighter…
178 - BEERS UP BOYS  AO AO AO on the bus with Cheers.md	32	unclassified	idea		00_inbox/	LOW	178 - BEERS UP BOYS  AO AO AO on the bus with Cheers
18-1353.md	11	life-systems	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	18-1353
18008374966.md	3	unclassified	unknown		00_inbox/	LOW	18008374966
2- Virtual Price Table with Advanced Sorting.md	301	creative-studio|design-team|product-management	ai-prompt		40_knowledge/references/	HIGH	2. Virtual Price Table with Advanced Sorting
2018 Firm Element.md	7	creative-studio	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	2018 Firm Element
2019 council.md	6	unclassified	unknown		00_inbox/	LOW	2019 council
2020 Council.md	5	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	2020 Council
2020 Silver Toyota Corolla - New York - HSV9758 - Ryan Clinton.md	4	unclassified	unknown		00_inbox/	LOW	2020 Silver Toyota Corolla - New York - HSV9758 - Ryan Clinton
21-3525 WM Recruiting eCard.md	13	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	21-3525 WM Recruiting eCard
21Shares Dogecoin ETF FalconX.md	5	product-management	unknown		40_knowledge/references/	MEDIUM	21Shares Dogecoin ETF FalconX
21st-dev component CODES CONTINUED.md	446	creative-studio|life-systems|product-management	code-snippet		40_knowledge/references/	HIGH	21st.dev component CODES CONTINUED
21st-dev component codes.md	1536	product-management|creative-studio|claude-mastery	code-snippet	campus-201	20_projects/prj-campus-201/	HIGH	21st.dev component codes
3-17-2025 - Rachel Muradyan - Initiative And Managing Complexity.md	16	product-management|life-systems	personal		60_archive/apple-notes-personal/	HIGH	3/17/2025 - Rachel Muradyan - Initiative And Managing Complexity
3-17-25 - Anuka Pokharel - Collaboration And Coachability.md	27	life-systems|creative-studio	personal		60_archive/apple-notes-personal/	HIGH	3/17/25 - Anuka Pokharel - Collaboration And Coachability
3-17-25 Amy Slay - Problem Solving And Growth Mindset.md	44	life-systems|creative-studio|claude-mastery	personal	campus-201	20_projects/prj-campus-201/	HIGH	3/17/25 Amy Slay - Problem Solving And Growth Mindset
3-17-25 New HubSpot interview questions.md	85	life-systems|product-management|claude-mastery	personal		60_archive/apple-notes-personal/	HIGH	3/17/25 New HubSpot interview questions
30-60-90.md	12	product-management|creative-studio	unknown		40_knowledge/references/	MEDIUM	30-60-90
300 dpi.md	4	unclassified	unknown		00_inbox/	LOW	300 dpi
3490.md	10	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Legislative Talking Points
3513.md	5	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Design Elements For Giving Campaign
37-Day MVP Sprint.md	103	product-management|life-systems|creative-studio	project-material		40_knowledge/references/	HIGH	37-Day MVP Sprint
3751.md	7	creative-studio	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	MYKO 2021 Open Homecoming
3] Panel - Card Frame (UI, 9-slice).md	72	creative-studio|life-systems	personal	16bitfit	20_projects/prj-16bitfit/	HIGH	3] Panel / Card Frame (UI, 9-slice)
440 Howard Blvd.md	7	unclassified	unknown		00_inbox/	LOW	440 Howard Blvd
6-30-25 Meeting with Hello PM Aakash.md	12	life-systems	unknown		00_inbox/	MEDIUM	6/30/25 Meeting with Hello PM Aakash
7-14-25.md	121	creative-studio|life-systems|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	7-14-25
7-28 checklist (Conors Birthday).md	15	creative-studio|life-systems	personal	16bitfit	20_projects/prj-16bitfit/	HIGH	7-28 checklist (Conors Birthday)
7-28-25 Claude Code Latest Plan for MVP.md	107	claude-mastery|creative-studio|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	7-28-25 Claude Code Latest Plan for MVP
7-7 Checklist.md	13	claude-mastery|design-team|creative-studio	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	7/7 Checklist
7-9-2025.md	19	life-systems|creative-studio|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	7/9/2025
9-1 checklist.md	37	creative-studio|design-team|claude-mastery	project-material		40_knowledge/references/	HIGH	9/1 checklist
9-21 checklist.md	12	claude-mastery|creative-studio|life-systems	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	9/21 checklist
90 Shot of Campy magnet- “we getting homeless-”.md	26	unclassified	idea		00_inbox/	LOW	90 Shot of Campy magnet. “we getting homeless?”
90’s - WE HAVE.md	3	unclassified	unknown		00_inbox/	LOW	90’s - WE HAVE
========================================.md	109	creative-studio|claude-mastery|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	========================================
@here Latest bi-weekly update is here- Here's what shipped in the….md	7	product-management|life-systems	unknown	campus-201	20_projects/prj-campus-201/	MEDIUM	@here Latest bi-weekly update is here. Here's what shipped in the…
@import url('https---fonts-googleapis-com-css2-family=Press+Start….md	774	creative-studio|design-team|life-systems	personal		60_archive/apple-notes-personal/	HIGH	@import url('https://fonts.googleapis.com/css2?family=Press+Start…
A 16-bit pixel art character sprite of a fit young male fighter in….md	6	creative-studio|life-systems	ai-prompt		40_knowledge/references/	HIGH	A 16-bit pixel art character sprite of a fit young male fighter in…
A 2D fighting game character sprite in modern-retro Street Fighter….md	9	creative-studio	project-material		40_knowledge/references/	MEDIUM	A 2D fighting game character sprite in modern-retro Street Fighter…
A good default rule.md	416	product-management|claude-mastery|creative-studio	project-material		40_knowledge/references/	HIGH	A good default rule
A hyper-realistic, mockumentary-style video- A sharply dressed businessman….md	4	unclassified	unknown		00_inbox/	LOW	A hyper-realistic, mockumentary-style video. A sharply dressed businessman…
A short about relationship-marriage.md	7	life-systems	personal		60_archive/apple-notes-personal/	MEDIUM	A short about relationship/marriage
A tv host that is a germophobe loses his job.md	613	life-systems|creative-studio	personal		60_archive/apple-notes-personal/	HIGH	A tv host that is a germophobe loses his job
ADD SOME COMEDY TO THE TEASER.md	34	creative-studio|life-systems	creative-writing		40_knowledge/concepts/	HIGH	ADD SOME COMEDY TO THE TEASER
ALL INGESTED AND DELETED FROM IMPORT-.md	19	life-systems	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	ALL INGESTED AND DELETED FROM IMPORT:
AMAZON PASSKEY.md	3	unclassified	unknown		00_inbox/	LOW	AMAZON PASSKEY
ANCHOR PROMPTS.md	24	creative-studio|life-systems|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	ANCHOR PROMPTS
APOCOLYPSE IDEA-.md	8	unclassified	idea		00_inbox/	MEDIUM	APOCOLYPSE IDEA:
APPLY FOR ALL 16BITFIT SCREENS.md	376	creative-studio|design-team|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	APPLY FOR ALL 16BITFIT SCREENS
ASPIRESHIP PRACTICE.md	10	life-systems|product-management	project-material		40_knowledge/references/	HIGH	ASPIRESHIP PRACTICE
AUDIO CHANGES.md	4	unclassified	unknown		00_inbox/	LOW	AUDIO CHANGES
Aakash Gupta-.md	8	life-systems|creative-studio|product-management	unknown		00_inbox/	MEDIUM	Aakash Gupta.
Accusonus Voice Changer Website.md	3	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Accusonus Voice Changer Website
Act One-.md	4	unclassified	creative-writing		40_knowledge/concepts/	MEDIUM	Act One:
Add Blink To Marcus.md	5	creative-studio	unknown		40_knowledge/references/	MEDIUM	Add Blink To Marcus
Add this to the Guidelines-md within this Figma Make project-.md	25	creative-studio|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	Add this to the Guidelines.md within this Figma Make project:
Adobe fonts.md	3	unclassified	unknown		00_inbox/	LOW	Adobe fonts
Agentive Organization Name.md	7	unclassified	unknown		00_inbox/	LOW	Agentive Organization Name
Ai agent builders.md	37	life-systems|claude-mastery	financial	boston-move	20_projects/prj-boston-move/	MEDIUM	Ai agent builders
All 4 interviews complete- Before I start writing, two things-.md	10	life-systems	reference	boston-move	20_projects/prj-boston-move/	HIGH	All 4 interviews complete. Before I start writing, two things:
All of the sub-agents have been updated and ready to be used by claude….md	88	creative-studio|claude-mastery|life-systems	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	All of the sub-agents have been updated and ready to be used by claude…
Although writing jokes and sketches for the stage was fun, Sean missed….md	3	creative-studio	idea		00_inbox/	MEDIUM	Although writing jokes and sketches for the stage was fun, Sean missed…
Amazing, thank you! Can you go through this checklist and make sure….md	453	design-team|life-systems|product-management	personal		60_archive/apple-notes-personal/	HIGH	Amazing, thank you! Can you go through this checklist and make sure…
Amazing, thank you!.md	26	unclassified	unknown		00_inbox/	LOW	Amazing, thank you!
Amphetamine-dextroamphetamine 15MG TAB.md	41	life-systems	financial		50_sources/finance/	HIGH	Amphetamine/dextroamphetamine 15MG TAB
Amtrak Password.md	4	unclassified	unknown		00_inbox/	LOW	Amtrak Password
An ai agent that scrapes the internet for ai news and other things….md	3	unclassified	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	An ai agent that scrapes the internet for ai news and other things…
Analyze -Advanced AI PM Tool Workflows and Hidden Features- using….md	33	product-management|claude-mastery|life-systems	project-material		40_knowledge/references/	HIGH	"Analyze ""Advanced AI PM Tool Workflows and Hidden Features"" using…"
Animated and-or comic.md	15	creative-studio|life-systems	personal		60_archive/apple-notes-personal/	HIGH	Animated and/or comic
Another ticket, whenever we have finalized requirements about the….md	5	product-management	project-material		40_knowledge/references/	HIGH	Another ticket, whenever we have finalized requirements about the…
Answering Claudes questions-.md	27	life-systems|creative-studio|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Answering Claudes questions:
App ideas.md	9	life-systems|creative-studio	idea	16bitfit	20_projects/prj-16bitfit/	HIGH	App ideas
Apple ID Log in-.md	3	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Apple ID Log in:
Architect Review Complete - Story 1-2 Final Remediation.md	140	claude-mastery|creative-studio	project-material	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Architect Review Complete - Story 1.2 Final Remediation
Ask Bruce if he has access to-.md	4	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Ask Bruce if he has access to:
Aspireship Certificate.md	143	life-systems|vault	project-material		40_knowledge/references/	HIGH	Aspireship Certificate
Aspireship Practice Assessment 2.md	9	life-systems	project-material	personal-finance	20_projects/prj-personal-finance/	HIGH	Aspireship Practice Assessment 2
Asset Locations and Requirements.md	74	creative-studio|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Asset Locations and Requirements
Attaching Claude Code To MCP.md	100	claude-mastery|creative-studio	list	16bitfit	20_projects/prj-16bitfit/	HIGH	Attaching Claude Code To MCP
Authentic 1989 Nintendo DMG Game Boy pixel art sprite — full‑body….md	7	creative-studio|product-management|life-systems	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Authentic 1989 Nintendo DMG Game Boy pixel art sprite — full‑body…
Authentic retro pixel art, clean 1‑pixel outlines, limited tonal steps….md	4	creative-studio	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Authentic retro pixel art, clean 1‑pixel outlines, limited tonal steps…
BANE SERIES OVERVIEW.md	22	creative-studio|life-systems	creative-writing		40_knowledge/concepts/	HIGH	BANE SERIES OVERVIEW
BATCH INGEST 20-3017.md	8	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	BATCH INGEST 20-3017
BATTLE TRANSITION PROMPTS.md	509	creative-studio|life-systems|design-team	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	BATTLE TRANSITION PROMPTS
BI-WEEKLY CLAUDE PROMPT.md	11	product-management	ai-prompt		40_knowledge/references/	HIGH	BI-WEEKLY CLAUDE PROMPT
BI-WEEKLY UPDATE PROMPT.md	40	product-management|life-systems	project-material	campus-201	20_projects/prj-campus-201/	HIGH	BI-WEEKLY UPDATE PROMPT
BMAD Game Architect.md	536	creative-studio|life-systems|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	BMAD Game Architect
BMAD Integration - Claude Code Response.md	69	claude-mastery|creative-studio|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	BMAD Integration - Claude Code Response
BMAD METHODE PROMPTS.md	5	claude-mastery|product-management|creative-studio	project-material		40_knowledge/references/	HIGH	BMAD METHODE PROMPTS
BMAD Method Integration Prompts.md	364	claude-mastery|creative-studio|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	BMAD Method Integration Prompts
BMad Master's Comprehensive Claude Skills Recommendation Report.md	504	creative-studio|claude-mastery|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	BMad Master's Comprehensive Claude Skills Recommendation Report
BODHAN MESSAGE.md	4	unclassified	unknown		00_inbox/	LOW	BODHAN MESSAGE
BRING UP TO ERIC 7-6.md	6	life-systems	unknown		00_inbox/	MEDIUM	BRING UP TO ERIC 7/6
Bach party 1 hour 2 women $450 to get in the door plus whatever tips….md	5	unclassified	financial		50_sources/finance/	MEDIUM	Bach party 1 hour 2 women $450 to get in the door plus whatever tips…
Background Music (BGM).md	91	creative-studio|life-systems	reference		40_knowledge/references/	HIGH	Background Music (BGM)
Baking Competition Movie idea-.md	30	life-systems	idea		00_inbox/	HIGH	Baking Competition Movie idea:
Based on all of the documentation I've provided in this thread, I've….md	133	creative-studio|claude-mastery|design-team	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Based on all of the documentation I've provided in this thread, I've…
Based on my analysis of the design-system folder, here are the prioritized….md	75	design-team|claude-mastery|creative-studio	project-material		40_knowledge/references/	HIGH	Based on my analysis of the design-system folder, here are the prioritized…
